,product,variable,value,factor,product,variable,value,factor
603,"Real estate services, excluding on a fee or contract basis and imputed rent",Gross operating surplus and mixed income,1.266,Ratio of direct to total,"Real estate services, excluding on a fee or contract basis and imputed rent",Gross operating surplus and mixed income,0.615,total impact
604,Legal services,Gross operating surplus and mixed income,1.204,Ratio of direct to total,Legal services,Gross operating surplus and mixed income,0.501,total impact
605,"Accounting, bookkeeping and auditing services; tax consulting services",Gross operating surplus and mixed income,1.17,Ratio of direct to total,"Accounting, bookkeeping and auditing services; tax consulting services",Gross operating surplus and mixed income,0.358,total impact
606,Services of head offices; management consulting services,Gross operating surplus and mixed income,1.982,Ratio of direct to total,Services of head offices; management consulting services,Gross operating surplus and mixed income,0.256,total impact
607,Architectural and engineering services; technical testing and analysis services,Gross operating surplus and mixed income,2.498,Ratio of direct to total,Architectural and engineering services; technical testing and analysis services,Gross operating surplus and mixed income,0.225,total impact
608,Scientific research and development services,Gross operating surplus and mixed income,1.688,Ratio of direct to total,Scientific research and development services,Gross operating surplus and mixed income,0.309,total impact
609,Advertising and market research services,Gross operating surplus and mixed income,1.443,Ratio of direct to total,Advertising and market research services,Gross operating surplus and mixed income,0.39,total impact
610,"Other professional, scientific and technical services",Gross operating surplus and mixed income,2.248,Ratio of direct to total,"Other professional, scientific and technical services",Gross operating surplus and mixed income,0.28,total impact
611,Veterinary services,Gross operating surplus and mixed income,1.281,Ratio of direct to total,Veterinary services,Gross operating surplus and mixed income,0.352,total impact
612,Rental and leasing services,Gross operating surplus and mixed income,1.298,Ratio of direct to total,Rental and leasing services,Gross operating surplus and mixed income,0.436,total impact
613,Employment services,Gross operating surplus and mixed income,1.67,Ratio of direct to total,Employment services,Gross operating surplus and mixed income,0.208,total impact
614,"Travel agency, tour operator and other reservation services and related services",Gross operating surplus and mixed income,1.915,Ratio of direct to total,"Travel agency, tour operator and other reservation services and related services",Gross operating surplus and mixed income,0.335,total impact
615,Security and investigation services,Gross operating surplus and mixed income,1.544,Ratio of direct to total,Security and investigation services,Gross operating surplus and mixed income,0.38,total impact
616,Services to buildings and landscape,Gross operating surplus and mixed income,1.826,Ratio of direct to total,Services to buildings and landscape,Gross operating surplus and mixed income,0.376,total impact
617,"Office administrative, office support and other business support services",Gross operating surplus and mixed income,1.653,Ratio of direct to total,"Office administrative, office support and other business support services",Gross operating surplus and mixed income,0.292,total impact
618,Public administration and defence services; compulsory social security services,Gross operating surplus and mixed income,1.658,Ratio of direct to total,Public administration and defence services; compulsory social security services,Gross operating surplus and mixed income,0.281,total impact
619,Education services,Gross operating surplus and mixed income,1.489,Ratio of direct to total,Education services,Gross operating surplus and mixed income,0.233,total impact
620,Human health services,Gross operating surplus and mixed income,1.638,Ratio of direct to total,Human health services,Gross operating surplus and mixed income,0.243,total impact
621,Residential Care  & Social Work Activities,Gross operating surplus and mixed income,2.327,Ratio of direct to total,Residential Care  & Social Work Activities,Gross operating surplus and mixed income,0.167,total impact
622,"Creative, arts and entertainment services",Gross operating surplus and mixed income,1.468,Ratio of direct to total,"Creative, arts and entertainment services",Gross operating surplus and mixed income,0.46,total impact
623,"Libraries, archives, museums and other cultural services",Gross operating surplus and mixed income,1.727,Ratio of direct to total,"Libraries, archives, museums and other cultural services",Gross operating surplus and mixed income,0.303,total impact
624,Gambling and betting services,Gross operating surplus and mixed income,1.357,Ratio of direct to total,Gambling and betting services,Gross operating surplus and mixed income,0.525,total impact
625,Sports services and amusement and recreation services,Gross operating surplus and mixed income,1.804,Ratio of direct to total,Sports services and amusement and recreation services,Gross operating surplus and mixed income,0.278,total impact
626,Services furnished by membership organisations,Gross operating surplus and mixed income,2.153,Ratio of direct to total,Services furnished by membership organisations,Gross operating surplus and mixed income,0.237,total impact
627,Repair services of computers and personal and household goods,Gross operating surplus and mixed income,1.348,Ratio of direct to total,Repair services of computers and personal and household goods,Gross operating surplus and mixed income,0.379,total impact
628,Other personal services,Gross operating surplus and mixed income,1.135,Ratio of direct to total,Other personal services,Gross operating surplus and mixed income,0.595,total impact
629,Services of households as employers of domestic personnel,Gross operating surplus and mixed income,,Ratio of direct to total,Services of households as employers of domestic personnel,Gross operating surplus and mixed income,0.0,total impact
630,"Products of agriculture, hunting and related services",Gross value added,2.096,Ratio of direct to total,"Products of agriculture, hunting and related services",Taxes less subsidies on production,-0.074,total impact
631,"Products of forestry, logging and related services",Gross value added,2.115,Ratio of direct to total,"Products of forestry, logging and related services",Taxes less subsidies on production,0.005,total impact
